doi,type,date
10.1109/iciap.2001.957024,proceedings-article,2001
10.1007/978-3-642-03845-7_1,proceedings-article,2009
10.1007/978-3-319-03524-6,proceedings,2013
10.1016/j.jlamp.2017.08.001,journal-article,2017-12
10.1145/1924475.1924477,journal-article,2011-01-03
10.1007/s00224-017-9782-9,journal-article,2017-05-27
10.1109/sitis.2013.73,proceedings-article,2013-12
10.1109/ccnc.2017.7983245,proceedings-article,2017
10.1007/978-3-642-36763-2_11,proceedings-article,2013
10.1007/11549345_29,proceedings-article,2005
10.1016/j.artint.2016.07.003,journal-article,2016-10
10.1007/3-540-44985-x_46,proceedings-article,2000
10.1109/mdm.2013.70,proceedings-article,2013-06
10.1007/978-3-642-24553-4_79,proceedings-article,2012
10.1016/j.ajo.2015.09.031,journal-article,2016-01
10.1007/3-540-44700-8_13,proceedings-article,2001
10.1007/978-3-030-05909-5_23,proceedings-article,2018-12-31
10.1007/978-3-319-23633-9,book,2015
10.1145/2661829.2662017,proceedings-article,2014
10.1007/978-3-642-23765-2_34,proceedings-article,2011
10.1016/j.ress.2007.03.013,journal-article,2008-07
10.1007/s10479-012-1303-2,journal-article,2013-01-17
10.1385/ni:2:4:399,journal-article,2004
10.1007/s00500-007-0150-6,journal-article,2007-02-22
10.1109/csmr.2010.31,proceedings-article,2010-03
10.1007/978-3-540-78135-6_22,proceedings-article,2008
10.1142/s0218194099000267,journal-article,1999-08
10.1016/j.procs.2016.09.066,proceedings-article,2016
10.1145/2837185.2837241,proceedings-article,2015
10.1145/1168054.1168081,proceedings-article,2006
10.1007/978-3-642-13739-6_12,proceedings-article,2010
10.1007/978-3-319-78658-2_20,proceedings-article,2018
10.1007/978-3-319-69904-2_26,proceedings-article,2017
10.1016/j.comcom.2006.12.016,journal-article,2007-11
10.1007/978-3-319-07046-9_15,proceedings-article,2014
10.1109/tdsc.2016.2601603,journal-article,2016
10.1007/3-540-39963-1_24,proceedings-article,2000
10.1090/s0025-5718-2013-02787-1,journal-article,2013-11-18
10.1007/978-3-642-33863-2_60,proceedings-article,2012
10.1109/98.626978,journal-article,1997
10.1142/s0219265911002824,journal-article,2011-03
10.1007/978-3-642-22359-4_21,proceedings-article,2011
10.1109/icdsp.2013.6622762,proceedings-article,2013-07
10.1145/2740908.2742757,proceedings-article,2015
10.1007/978-3-642-04211-9_20,proceedings-article,2009
10.1093/logcom/exp053,journal-article,2009-09-17
10.3233/aic-2012-0526,journal-article,2012
10.1145/2588555.2594512,proceedings-article,2014
10.1007/s11219-017-9383-5,journal-article,2017-07-10
10.1093/bioinformatics/btx674,journal-article,2017-10-23
10.1088/0004-637x/760/1/12,journal-article,2012-10-30
10.1109/glocom.2009.5426255,proceedings-article,2009-11
10.1145/3098279.3098551,proceedings-article,2017
10.1007/978-3-540-79980-1_27,proceedings-article,2008
10.1109/icarcv.2010.5707958,proceedings-article,2010-12
10.1109/fuzz-ieee.2012.6251159,proceedings-article,2012-06
10.1145/2414393.2414406,proceedings-article,2011
10.1109/wf-iot.2015.7389025,proceedings-article,2015-12
10.1145/3178291,proceedings,2018
10.1016/j.eswa.2016.08.050,journal-article,2016-12
10.1145/1164783.1164795,proceedings-article,2006
10.3233/978-1-58603-891-5-246,proceedings-article,2008
10.1016/j.ecoinf.2018.01.006,journal-article,2018-03
10.1145/2908131.2908201,proceedings-article,2016
10.1007/978-3-540-27796-5_9,proceedings-article,2004
10.1109/jsen.2017.2777786,journal-article,2018-06-15
10.1109/icdsp.2009.5201142,proceedings-article,2009-07
10.1145/2740908.2742838,proceedings-article,2015
10.1109/scc.2010.25,proceedings-article,2010-07
10.4018/jbdcn.2013070102,journal-article,2013-07
10.1007/978-3-319-50182-6_2,proceedings-article,2016
10.1007/s10113-013-0444-4,journal-article,2013-03-24
10.1007/978-3-319-25524-8_18,proceedings-article,2015
10.1145/1554339.1554348,proceedings-article,2009
10.1109/ipta.2015.7367195,proceedings-article,2015-11
10.1007/978-3-319-98932-7_23,proceedings-article,2018
10.1109/asonam.2012.180,proceedings-article,2012-08
10.1109/iciap.1999.797602,proceedings-article,1999
10.1007/978-3-319-11268-8_17,book-chapter,2014
10.1142/9789812774118_0084,proceedings-article,2006-07
10.1089/cmb.2009.0144,journal-article,2011-04
10.1016/j.joi.2010.12.002,journal-article,2011-04
10.1007/978-3-642-25501-4_19,proceedings-article,2011
10.1109/ccnc.2016.7444806,proceedings-article,2016-01
10.1007/978-3-319-31293-4_49,proceedings-article,2016-07-09
10.1007/11768012_63,proceedings-article,2006
10.1109/ictai.2013.54,proceedings-article,2013-11
10.1007/978-3-319-39570-8_14,proceedings-article,2016
10.1109/smartcomp.2017.7946962,proceedings-article,2017-05
10.1134/s0032946017030036,journal-article,2017-04-10
10.1007/978-3-642-37577-4_13,book-chapter,2014
10.1504/ijguc.2016.077488,journal-article,2016
10.1016/j.jcss.2010.05.006,journal-article,2011
10.1016/s0304-3975(97)00243-0,journal-article,1998-07
10.1504/ijwgs.2006.011713,journal-article,2006
10.4204/eptcs.63.18,proceedings-article,2011-08-17
10.1016/j.jctb.2007.09.004,journal-article,2008-05
10.3109/10715762.2012.692787,journal-article,2012-06-13
10.1007/978-3-319-78759-6_12,proceedings-article,2018
10.1117/1.oe.52.7.071506,journal-article,2013-03-25
10.1109/cbmi.2013.6576588,proceedings-article,2013-06
10.1016/j.jda.2011.12.007,journal-article,2012-07
10.1109/time.2012.11,proceedings-article,2012-09
10.1109/infcom.1993.253299,proceedings-article,1993
10.1109/compsac.2015.15,proceedings-article,2015-07
10.1007/978-3-319-07644-7_1,proceedings-article,2014
10.1016/j.ipm.2009.08.003,journal-article,2010-03
10.1039/c7ra11528h,journal-article,2018
10.1109/dsd.2008.36,proceedings-article,2008
10.1007/978-3-319-57288-8_9,proceedings-article,2017
10.1016/j.chb.2015.05.045,journal-article,2015-11
10.1109/i2mtc.2017.7969670,proceedings-article,2017-05
10.1016/j.eswa.2018.09.009,journal-article,2019-02
10.1016/j.amc.2014.07.081,journal-article,2014-10
10.1002/cpe.1761,journal-article,2011-05-23
10.1109/bwcca.2010.107,proceedings-article,2010-11
10.1109/digitalheritage.2013.6743771,proceedings-article,2013-10
10.1007/3-540-44968-x_16,proceedings-article,2000
10.1016/s0167-739x(02)00047-x,journal-article,2002-05
10.1145/2076623.2076650,proceedings-article,2011
10.1007/s11042-007-0103-1,journal-article,2007-02-16
10.1145/1774088.1774447,proceedings-article,2010
10.1145/1982185.1982206,proceedings-article,2011
10.1007/s10589-007-9046-8,journal-article,2007-05-16
10.1007/978-3-642-28598-1_9,book-chapter,2012
10.3233/aic-140634,journal-article,2015
10.1186/s12859-018-2299-7,journal-article,2018-10
10.1209/0295-5075/96/64002,journal-article,2011-12-01
10.1145/3127022,journal-article,2018-01-03
10.1109/haptic.2004.1287187,proceedings-article,2004
10.3727/109830508788403150,journal-article,2008-12-01
10.1007/978-3-662-44415-3_3,proceedings-article,2014
10.1007/s10696-011-9131-2,journal-article,2011-12-08
10.1109/olt.2000.856605,proceedings-article,2000
10.1109/sbst.2015.16,proceedings-article,2015-05
10.1109/lcomm.2007.070238,journal-article,2007-06
10.1023/a:1007638124237,journal-article,2000
10.1016/b978-0-12-415844-3.00019-x,book-chapter,2013
10.1017/s147106841300001x,journal-article,2013-08-09
10.1145/2133797.2133799,journal-article,2012-03-01
10.3389/fninf.2016.00023,journal-article,2016-06-30
10.1109/tim.2009.2023815,journal-article,2010-04
10.1109/asew.2015.19,proceedings-article,2015-11
10.1109/avss.2009.39,proceedings-article,2009-09
10.1007/978-3-642-39666-3_14,proceedings-article,2013
10.1007/3-540-44677-x_14,proceedings-article,2001
10.1016/j.patcog.2010.06.005,journal-article,2010-11
10.1145/3196321.3196363,proceedings-article,2018
10.1007/978-3-540-48247-5_62,proceedings-article,1999
10.1145/288338.288378,proceedings-article,1998
10.1007/3-540-44743-1_40,proceedings-article,2001
10.1007/978-3-540-69566-0_33,proceedings-article,2008
10.1007/s00521-012-0902-9,journal-article,2012-03-10
10.1007/s40309-016-0093-1,journal-article,2016-11-22
10.1017/s096012951100020x,journal-article,2011-10-27
10.1016/j.ejor.2013.07.029,journal-article,2014-02
10.1109/infcomw.2013.6562851,proceedings-article,2013-04
10.1016/j.entcs.2009.10.007,journal-article,2009-11
10.1007/978-3-319-63312-1_44,proceedings-article,2017
10.1007/978-3-642-19318-7_51,proceedings-article,2011
10.1007/11671411_12,proceedings-article,2006
10.1109/mesa.2014.6935615,proceedings-article,2014-09
10.1109/sitis.2011.54,proceedings-article,2011-11
10.4204/eptcs.67.3,proceedings-article,2011-09-08
10.1007/978-3-319-48021-3_2,proceedings-article,2016
10.1007/s00145-013-9153-x,journal-article,2013-05-25
10.1016/j.procs.2013.09.017,proceedings-article,2013
10.1093/nar/gkw096,journal-article,2016-02-20
10.1364/ofc.2014.w4h.1,proceedings-article,2014
10.1145/2808719.2812218,proceedings-article,2015
10.1007/978-3-540-30181-3_17,proceedings-article,2004
10.1007/978-3-540-24701-2_18,proceedings-article,2004
10.1007/978-3-319-39519-7_3,proceedings-article,2016
10.5441/002/edbt.2017.37,proceedings-article,2017
10.1007/3-540-45027-0_5,proceedings-article,2000
10.1007/978-3-319-13590-8_4,book-chapter,2014
10.1007/978-3-319-47166-2_38,proceedings-article,2016
10.1007/s10664-008-9090-8,journal-article,2008-11-07
10.1145/1529282.1529404,proceedings-article,2009
10.1002/qre.1305,journal-article,2012-01-26
10.1109/ispa.2008.82,proceedings-article,2008-12
10.1007/s00228-014-1708-8,journal-article,2014-06-22
10.1109/tnsm.2017.2701549,journal-article,2017
10.1007/978-3-662-46562-2,proceedings,2015
10.1145/2663204.2669622,proceedings-article,2014
10.1145/1328964.1328979,journal-article,2007-12-01
10.1109/icip.2010.5653463,proceedings-article,2010-09
10.1007/11558590_12,proceedings-article,2005
10.1007/978-3-642-15576-5_16,proceedings-article,2010
10.1111/(issn)1745-4557,journal,not-defined
10.1007/978-3-642-30642-6_26,proceedings-article,2012
10.1007/s10601-007-9034-8,journal-article,2008-01-30
10.3233/ais-140281,journal-article,2014
10.1145/3030207,proceedings,2017
10.1007/978-3-642-40814-4_67,proceedings-article,2013
10.1145/1462179.1462180,journal-article,2009-02-01
10.1002/9780470892107.ch15,book-chapter,2010-12-23
10.1016/s0304-3975(01)00344-9,journal-article,2003-01
10.1007/s00224-010-9275-6,journal-article,2010-07-08
10.1109/access.2018.2872956,journal-article,2018
10.1109/wimob.2013.6673367,proceedings-article,2013-10
10.1504/ijhpcn.2015.071260,journal-article,2015
10.1007/978-3-642-41030-7_7,proceedings-article,2013
10.1007/978-3-7908-2789-7_16,book-chapter,2012
10.1016/s0304-3975(01)00318-8,journal-article,2002-09
10.1007/s11042-016-4024-8,journal-article,2016-10-22
10.1142/s0129054103002060,journal-article,2003-10
10.1016/j.cageo.2005.10.027,journal-article,2006-08
10.1016/j.jco.2018.02.004,journal-article,2018-08
10.1007/3-540-45327-x_55,proceedings-article,2000
10.2312/3dor.20161079,proceedings-article,2016
10.1109/isbi.2006.1625085,proceedings-article,2006
10.1142/s0129054109006991,journal-article,2009-12
10.1007/978-3-319-11915-1_1,proceedings-article,2014
10.1093/bioinformatics/btg071,journal-article,2003-04-12
10.1007/978-3-642-41827-3_65,proceedings-article,2013
10.1086/518020,journal-article,2007-07-10
10.1016/j.jda.2018.09.002,journal-article,2018
10.1109/tifs.2018.2870826,journal-article,2019-04
10.1016/j.dam.2013.07.016,journal-article,2014-03
10.4230/lipics.mfcs.2018.47,proceedings-article,2018
10.1145/2968219.2968329,proceedings-article,2016
10.1007/s00453-008-9255-2,journal-article,2008-12-02
10.1117/1.2895876,journal-article,2008-01-01
10.1097/pai.0b013e318205b03a,journal-article,2011-07
10.1088/1742-6596/644/1/012012,journal-article,2015-10-12
10.1109/icpr.2006.764,proceedings-article,2006
10.1145/2228360.2228376,proceedings-article,2012
10.1007/s007780100044,journal-article,2001
10.1007/978-3-319-48965-0_41,proceedings-article,2016
10.1007/978-3-642-41242-4_17,proceedings-article,2013
10.1145/1141277.1141402,proceedings-article,2006
10.1109/pst.2013.6596031,proceedings-article,2013-07
10.1109/cts.2016.0093,proceedings-article,2016-10
10.1109/wowmom.2015.7158136,proceedings-article,2015-06
10.1002/cpe.3120,journal-article,2013-08-15
10.1109/hicss.2005.237,proceedings-article,2005
10.1109/onlinegreencom.2013.6731022,proceedings-article,2013-10
10.1145/1962300.1962385,proceedings-article,2010
10.1016/s0743-7315(03)00081-9,journal-article,2003-07
10.1109/isorcw.2010.21,proceedings-article,2010
10.1109/vims.2001.924898,proceedings-article,not-defined
10.1007/978-3-642-11802-9_27,proceedings-article,2010
10.1007/978-3-642-29344-3_34,proceedings-article,2012
10.1007/978-3-642-23217-6_11,proceedings-article,2011
10.1016/j.ipl.2004.02.011,journal-article,2004-05
10.4230/lipics.icalp.2016.121,proceedings-article,2016
10.1109/icre.2000.855597,proceedings-article,2000
10.1007/978-3-642-36763-2,proceedings,2013
10.1145/2940716.2940750,proceedings-article,2016
10.1007/978-3-642-04277-5_52,proceedings-article,2009
10.1007/978-3-642-31424-7_29,proceedings-article,2012
10.1016/s0167-8655(98)00124-x,journal-article,1999-01
10.1049/ip-sen:20045030,journal-article,2005
10.1177/0305735606067165,journal-article,2006-10
10.3166/jancl.19.149-166,journal-article,2009-01
10.1109/icmla.2012.109,proceedings-article,2012-12
10.1007/978-3-319-68456-7_19,proceedings-article,2017
10.1016/j.knosys.2018.03.030,journal-article,2018-07
10.1109/ursigass.2014.6930137,proceedings-article,2014-08
10.1145/1501750.1501771,proceedings-article,2008
10.1145/1188455.1188633,proceedings-article,2006
10.1109/asru.2007.4430168,proceedings-article,2007
10.1109/dsn.2004.1311936,proceedings-article,2004
10.1016/s0306-4379(02)00010-8,journal-article,2003-05
10.1109/aspec.2007.55,proceedings-article,2007-12
10.1016/j.celrep.2016.05.014,journal-article,2016-06
10.1504/ijart.2014.058942,journal-article,2014
10.1016/0304-3975(93)90302-a,journal-article,1993-08
10.1007/978-3-319-25017-5_13,proceedings-article,2015-10-18
10.1145/1015330.1015397,proceedings-article,2004
10.1016/s1389-1286(01)00180-3,journal-article,2001-08
10.1109/saso.2014.28,proceedings-article,2014-09
10.1109/islped.2013.6629324,proceedings-article,2013-09
10.5220/0006073301710178,proceedings-article,2016
10.1016/j.comcom.2004.08.017,journal-article,2005-03
10.1109/taes.2009.5089552,journal-article,2009-04
10.1109/vtcspring.2018.8417879,proceedings-article,2018-06
10.1007/11558958_59,proceedings-article,2006
10.1145/3103241,journal-article,2017-08-12
10.1109/sc.companion.2012.226,proceedings-article,2012-11
10.1016/j.entcs.2004.02.003,journal-article,2004-08
10.1145/2993259,proceedings,2016
10.1007/978-3-540-72354-7_6,proceedings-article,2007
10.1007/978-3-642-40313-2_63,proceedings-article,2013
10.1109/msr.2010.5463278,proceedings-article,2010-05
10.18653/v1/p16-4009,proceedings-article,2016
10.1007/978-3-540-39853-0_12,proceedings-article,2003
10.1109/tfuzz.2015.2426311,journal-article,2015-12
10.1109/noms.2016.7502933,proceedings-article,2016-04
10.1007/978-3-540-30206-3_21,proceedings-article,2004
10.1109/cvprw.2018.00250,proceedings-article,2018-06
10.1109/mprv.2010.30,journal-article,2010-04
10.1109/uic-atc-scalcom-cbdcom-iop-smartworld.2016.0181,proceedings-article,2016-07
10.1109/ipdps.2002.1016504,proceedings-article,2002
10.1109/72.655039,journal-article,1998
10.1111/evo.12541,journal-article,2014-11-20
10.1109/tc.2010.142,journal-article,2011-03
10.1109/icip.2004.1418803,proceedings-article,2004
10.1145/1873951.1874219,proceedings-article,2010
10.1089/cmb.2010.0232,journal-article,2011-08
10.1109/css.2011.6058565,proceedings-article,2011-09
10.1007/978-3-540-45175-4_10,proceedings-article,2003
10.1007/978-3-319-15979-9_16,proceedings-article,2015
10.1109/icws.2008.97,proceedings-article,2008-09
10.1142/s0129054111008854,journal-article,2011-11
10.1109/issoc.2006.322008,proceedings-article,2006-11
10.1007/978-3-030-01689-0_21,proceedings-article,2018
10.1145/1062689.1062733,proceedings-article,2005
10.1109/tvt.2016.2585018,journal-article,2017-03
10.1007/s13278-017-0449-y,journal-article,2017-07-10
10.1007/978-3-642-02282-1_10,proceedings-article,2009
10.1038/nature01784,journal-article,2003-07
10.1109/hcc.2001.995291,proceedings-article,2001
10.1007/978-3-642-28801-2,book,2012
10.2312/stag.20161367,proceedings-article,2016
10.1017/s1471068416000077,journal-article,2016-03-31
10.1007/978-3-642-31623-4_16,proceedings-article,2012
10.1109/icmew.2017.8026276,proceedings-article,2017-07
10.1007/978-3-319-25768-6_14,proceedings-article,2015
10.1007/3-540-44957-4_13,proceedings-article,2000
10.1145/1272980.1272991,proceedings-article,2007
10.1007/978-3-642-31724-8_52,proceedings-article,2012
10.1109/tste.2016.2574755,journal-article,2016-10
10.1109/vlsi-soc.2016.7753577,proceedings-article,2016-09
10.1145/2245276.2231955,proceedings-article,2012
10.1109/tvcg.2009.96,journal-article,2010-07
10.1007/978-3-319-24309-2_17,proceedings-article,2015
10.1109/cig.2009.5286471,proceedings-article,2009-09
10.1007/978-3-540-74782-6_22,proceedings-article,2007
10.1109/tse.2013.60,journal-article,2014-07
10.4108/icst.mobiquitous.2014.258215,proceedings-article,2014
10.1371/journal.pone.0046156,journal-article,2012-09-28
10.1109/wetice.2008.39,proceedings-article,2008
10.1109/icdmw.2007.93,proceedings-article,2007-10
10.1016/j.jnca.2018.02.015,journal-article,2018-05
10.1145/2567948.2577304,proceedings-article,2014
10.3233/978-1-58603-984-4-154,proceedings-article,2008
10.1109/vlhcc.2011.6070383,proceedings-article,2011-09
10.1007/978-3-319-52962-2_9,proceedings-article,2017
10.1007/978-3-319-50106-2_1,proceedings-article,2016
10.1109/ficloud.2015.35,proceedings-article,2015-08
10.1371/journal.pone.0005008,journal-article,2009-03-25
10.1145/2002259.2002307,proceedings-article,2011
10.2495/icte131122,proceedings-article,2014-04-01
10.1145/2596695.2596723,proceedings-article,2014
10.18293/dms2015-049,proceedings-article,2015-09-01
10.1007/978-3-7908-2632-6_15,book-chapter,2011
10.5220/0005160601300137,proceedings-article,2014
10.4018/978-1-61520-765-7,monograph,2010
10.1109/aeit.2015.7415278,proceedings-article,2015-10
10.1109/tse.2007.70740,journal-article,2008-01
10.1093/logcom/exu059,journal-article,2014-10-08
10.1371/journal.pone.0040014,journal-article,2012-07-19
10.1109/indin.2015.7281981,proceedings-article,2015-07
10.1007/11875604_43,proceedings-article,2006
10.5220/0006730806580664,proceedings-article,2018
10.4018/978-1-60566-818-5.ch003,book-chapter,2010
10.1007/978-3-642-04346-8_66,proceedings-article,2009
10.1007/s11280-017-0454-0,journal-article,2017-04-19
10.1016/j.is.2008.02.007,journal-article,2009-03
10.1007/s00607-014-0395-8,journal-article,2014-03-27
10.1007/978-3-642-40588-4_31,proceedings-article,2013
10.1109/tabletop.2008.4660188,proceedings-article,2008-10
10.1007/978-3-7908-2789-7_56,book-chapter,2012
10.1007/s10817-005-9018-6,journal-article,2006-02-25
10.1016/0141-9331(94)90005-1,journal-article,1994-06
10.1109/itng.2012.145,proceedings-article,2012-04
10.1109/tbme.2017.2664105,journal-article,2017-11
10.1109/robot.1999.772570,proceedings-article,1999
10.1007/978-3-319-61566-0_28,proceedings-article,2017-07-05
10.1002/net.21822,journal-article,2018-03-30
10.1007/978-3-540-88194-0_19,proceedings-article,2008
10.4028/www.scientific.net/amm.392.799,journal-article,2013-09
10.1109/wi-iat.2009.346,proceedings-article,2009
10.1109/pdp.2014.68,proceedings-article,2014-02
10.1140/epjp/i2014-14134-y,journal-article,2014-06
10.1016/j.patcog.2016.07.007,journal-article,2016-12
10.1109/ispdc.2009.35,proceedings-article,2009-06
10.1109/iciap.1999.797766,proceedings-article,1999
10.5220/0005719905660573,proceedings-article,2016
10.1109/wd.2011.6098186,proceedings-article,2011-10
10.1109/icse.2009.5070518,proceedings-article,2009
10.1016/j.knosys.2012.04.012,journal-article,2012-10
10.1007/978-3-642-10291-2_7,proceedings-article,2009
10.1016/j.compbiolchem.2015.04.004,journal-article,2015-06
10.1142/9781783265091_0019,book-chapter,2014-11-03
10.1109/mis.2006.22,journal-article,2006-03
10.1109/taffc.2017.2717879,journal-article,2017-10-01
10.1364/jocn.4.00b168,journal-article,2012-10-30
10.1007/978-3-319-72150-7_40,proceedings-article,2017-11-27
10.1007/11599555_21,proceedings-article,2005
10.1007/978-3-642-54624-2_10,proceedings-article,2014
10.1007/11885191_1,proceedings-article,2006
10.1007/978-3-642-40206-7_8,proceedings-article,2013
10.1145/2786805.2803187,proceedings-article,2015
10.1145/2964284.2967266,proceedings-article,2016
10.1109/icassp.1999.758305,proceedings-article,1999
10.1016/j.patcog.2009.09.021,journal-article,2010-04
10.1016/j.ipm.2005.05.001,journal-article,2006-01
10.1007/978-3-642-15181-1_12,book-chapter,2010
10.1099/vir.0.055335-0,journal-article,2013-08-20
10.1007/978-3-540-24619-0_6,proceedings-article,2004
10.1016/0166-218x(94)00010-b,journal-article,1995-07
10.1007/s00500-010-0597-8,journal-article,2010-03-31
10.1007/978-3-319-49052-6_8,proceedings-article,2016
10.4204/eptcs.226.6,proceedings-article,2016-09-13
10.1007/978-3-319-17130-2_5,proceedings-article,2015
10.1145/1924475.1924486,journal-article,2011-01-03
10.1109/dcc.2000.838187,proceedings-article,2000
10.1007/978-3-319-49109-7_32,proceedings-article,2016-10-22
10.1109/tcsvt.2015.2450332,journal-article,2015-12
10.1002/9781119078845.ch3,book-chapter,2015-12-18
10.1007/978-3-319-24285-9_4,proceedings-article,2015
10.1002/net.21576,journal-article,2014-11-27
10.1109/cvpr.2016.566,proceedings-article,2016
10.1109/tns.2011.2180924,journal-article,2012-08
10.1007/11908852,book,2006
10.1145/2695664.2695668,proceedings-article,2015
10.1007/978-3-540-30075-5_5,proceedings-article,2004
10.1109/tit.2009.2013014,journal-article,2009-04
10.1145/2513204.2513212,proceedings-article,2013
10.1016/j.jvlc.2003.10.003,journal-article,2004
10.1016/j.neucom.2009.11.016,journal-article,2010-03
10.1109/tmc.2007.70729,journal-article,2008-03
10.1007/978-3-540-73400-0_66,proceedings-article,2007
10.4204/eptcs.12,proceedings,2009-12-03
10.1007/978-3-642-15640-3_18,proceedings-article,2010
10.1007/11573548_120,proceedings-article,2005
10.1093/logcom/7.3.367,journal-article,1997-06-01
10.1109/wi-iat.2011.103,proceedings-article,2011-08
10.1109/igarss.2008.4779128,proceedings-article,2008-07
10.1109/bigdatacongress.2017.35,proceedings-article,2017-06
10.1109/dsd.2014.49,proceedings-article,2014-08
10.1109/icip.2014.7025894,proceedings-article,2014-10
10.1109/iscas.2002.1010983,proceedings-article,not-defined
10.1016/s0012-365x(02)00397-7,journal-article,2002-11
10.1177/0037549717706198,journal-article,2017-05-08
10.1016/j.image.2015.04.006,journal-article,2015-11
10.1145/1882291.1882327,proceedings-article,2010
10.1109/icassp.2003.1202351,proceedings-article,2003
10.1007/s003710000091,journal-article,2001-02-01
10.1007/3-540-62095-8_18,proceedings-article,1996
10.1016/j.tcs.2009.07.018,journal-article,2009-10
10.1016/j.sbspro.2010.04.009,journal-article,2010
10.1093/bioinformatics/bti323,journal-article,2005-02-15
10.1109/iwsm.mensura.2014.46,proceedings-article,2014-10
10.1109/fuzz.2001.1009038,proceedings-article,2001
10.1109/time.2008.24,proceedings-article,2008-06
10.1007/978-3-540-76725-1_25,proceedings-article,2007
10.1371/journal.pone.0066005,journal-article,2013-06-19
10.1007/s00500-014-1380-z,journal-article,2014-08-07
10.1145/2856767,proceedings,2016
10.1145/2739482.2764711,proceedings-article,2015
10.1007/11527862_12,proceedings-article,2005
10.1016/j.patcog.2008.10.016,journal-article,2009-09
10.1016/j.compbiolchem.2014.08.012,journal-article,2014-12
10.1109/bwcca.2011.27,proceedings-article,2011-10
10.1109/infcom.2007.141,proceedings-article,2007
10.1016/j.entcs.2004.02.007,journal-article,2004-08
10.1145/1244002.1244357,proceedings-article,2007
10.1007/978-3-642-10291-2_14,proceedings-article,2009
10.1007/978-3-319-07443-6_35,proceedings-article,2014
10.1007/978-3-642-15396-9_32,proceedings-article,2010
10.1007/978-3-642-33427-6_16,proceedings-article,2012
10.1109/vsmm.2014.7136647,proceedings-article,2014-12
10.1371/journal.pone.0076911,journal-article,2013-10-22
10.3233/fi-2017-1565,journal-article,2017-08-09
10.1109/icme.2009.5202617,proceedings-article,2009-06
10.1142/9781783265091_0021,book-chapter,2014-11-03
10.1007/978-3-319-09129-7,proceedings,2014
10.1080/17445760.2014.885967,journal-article,2014-02-11
10.1109/icip.2010.5650047,proceedings-article,2010-09
10.4018/978-1-4666-4038-2.ch007,book-chapter,2013
10.1504/ijdmb.2014.062149,journal-article,2014
10.1093/nar/gkt448,journal-article,2013-06-07
10.1007/bf03037630,journal-article,2003-06
10.1109/tim.2010.2057552,journal-article,2010-10
10.1007/bfb0020289,proceedings-article,1997
10.1109/digitalheritage.2013.6743728,proceedings-article,2013-10
10.1109/icpc.2013.6613852,proceedings-article,2013-05
10.1007/978-3-030-01614-2_28,proceedings-article,2018
10.1109/relaw.2009.1,proceedings-article,2009-09
10.3390/e18020061,journal-article,2016-02-19
10.1109/mdm.2006.16,proceedings-article,2006
10.1016/j.jnca.2018.01.017,journal-article,2018-04
10.1145/1161064.1161086,proceedings-article,2006
10.1109/49.848260,journal-article,2000-06
10.1016/j.entcs.2004.02.058,journal-article,2004-12
10.1007/978-3-642-13238-4_1,proceedings-article,2010
10.1109/pimrc.2008.4699915,proceedings-article,2008-09
10.1109/csmr.2013.39,proceedings-article,2013-03
10.1007/978-3-642-23151-3_2,book-chapter,2012
10.1016/j.comcom.2015.09.025,journal-article,2015-12
10.1007/978-3-319-23222-5_46,proceedings-article,2015
10.1016/j.ic.2007.01.001,journal-article,2007-08
10.1007/978-3-319-73165-0_4,proceedings-article,2017-12-21
10.1109/ms.2014.17,journal-article,2014-09
10.1145/2769458.2769478,proceedings-article,2015
10.1109/geoinformatics.2009.5293555,proceedings-article,2009-08
10.1109/bhi.2016.7455861,proceedings-article,2016-02
10.1109/bigdata.2017.8258487,proceedings-article,2017-12
10.1109/imtc.2002.1006935,proceedings-article,not-defined
10.1007/978-0-387-09699-5_6,proceedings-article,2008
10.1007/978-981-10-0356-1_49,proceedings-article,2016
10.1145/2663204.2663240,proceedings-article,2014
10.1109/isbi.2013.6556429,proceedings-article,2013-04
10.1007/11506676_6,proceedings-article,2005
10.1007/978-3-642-04747-3_30,proceedings-article,2009
10.1109/tnb.2016.2594215,journal-article,2016-09
10.1109/70.660838,journal-article,1998
10.4018/978-1-4666-4659-9.ch010,book-chapter,not-defined
10.5277/e-inf140105,journal-article,2014
10.1155/2010/919367,journal-article,2010
10.1007/978-3-540-69858-6_47,proceedings-article,2008
10.1007/978-3-319-47590-5_4,book-chapter,2016
10.1007/978-1-4471-6735-8_6,book-chapter,2015
10.1145/3219819.3220085,proceedings-article,2018
10.1109/pimrc.2001.965394,proceedings-article,2002
10.1016/j.parkreldis.2017.11.343,journal-article,2018-02
10.1109/eesms.2017.8052698,proceedings-article,2017-07
10.1007/s12369-015-0316-9,journal-article,2015-08-19
10.2307/2695065,journal-article,2000-12
10.1109/tifs.2014.2330312,journal-article,2014-08
10.1109/wetice.2005.55,proceedings-article,2005
10.1007/s11042-016-3511-2,journal-article,2016-04-14
10.1016/j.chb.2015.01.024,journal-article,2015-10
10.1186/s12859-017-1937-9,journal-article,2017-11-25
10.1109/firb-perf.2005.10,proceedings-article,2005
10.1002/(sici)1096-9128(199907)11:8<407::aid-cpe435>3.0.co;2-0,journal-article,1999
10.4230/lipics.mfcs.2017.75,proceedings-article,2017
10.1007/978-3-642-18123-8_12,proceedings-article,2010
